Date 	Symbol 	Security Name 	Client Name 	Buy / Sell 	Quantity Traded 	Trade Price / Wght. Avg. Price 	Remarks 
01-Aug-23	RIIL	Reliance Indl Infra Ltd	QE SECURITIES	SELL	"87,478"	"1,010.49"	-
01-Aug-23	RPOWER	Reliance Power Limited	HRTI PRIVATE LIMITED	BUY	"2,86,87,697"	16.94	-
01-Aug-23	RPOWER	Reliance Power Limited	HRTI PRIVATE LIMITED	SELL	"2,99,22,154"	16.93	-
01-Aug-23	SCAPDVR	Stampede Capital Limited	ACHINTYA SECURITIES PRIVATE LIMITED	SELL	"3,50,000"	10.7	-
01-Aug-23	SCAPDVR	Stampede Capital Limited	KRISHNA PRAJAPAT	BUY	"4,70,000"	10.7	-
01-Aug-23	SHAH	Shah Metacorp Limited	MALTI  SALVI	BUY	"24,00,000"	2.95	-
01-Aug-23	SHAH	Shah Metacorp Limited	MALTI  SALVI	SELL	"24,00,000"	3.02	-
01-Aug-23	SRPL-RE	Shree Ram Proteins Ltd	DILIP R DOSHI	SELL	"15,39,000"	0.1	-
01-Aug-23	SRPL-RE	Shree Ram Proteins Ltd	GOPAL SABHAPATHY REDDY	BUY	"28,13,640"	0.1	-
01-Aug-23	SRPL-RE	Shree Ram Proteins Ltd	RICHI DILIP DOSHI	SELL	"23,65,817"	0.1	-
01-Aug-23	SRPL-RE	Shree Ram Proteins Ltd	TARA CAPITAL PARTNERS INDIA PRIVATE LIMITED	BUY	"44,00,000"	0.1	-
01-Aug-23	SRPL-RE	Shree Ram Proteins Ltd	TARA CAPITAL PARTNERS INDIA PRIVATE LIMITED	SELL	"2,63,979"	0.15	-
01-Aug-23	STEL	Sentinel Tea and Exp Ltd	GRAVITON RESEARCH CAPITAL LLP	BUY	"1,63,216"	218.81	-
01-Aug-23	STEL	Sentinel Tea and Exp Ltd	GRAVITON RESEARCH CAPITAL LLP	SELL	"1,63,216"	219.01	-
01-Aug-23	SWELECTES	Swelect Energy Sys Ltd	PATEL WEALTH ADVISORS PRIVATE LIMITED	BUY	"42,247"	628.31	-
01-Aug-23	SWELECTES	Swelect Energy Sys Ltd	PATEL WEALTH ADVISORS PRIVATE LIMITED	SELL	"83,577"	572.7	-
01-Aug-23	SYNOPTICS	Synoptics Technologies L	AJAY  SALVI	BUY	"84,000"	170.98	-
01-Aug-23	SYNOPTICS	Synoptics Technologies L	AJAY  SALVI	SELL	"94,800"	166.85	-
01-Aug-23	TIRUPATI	Shree Tirupati Balajee	SUNITA AGRAWAL	SELL	"51,000"	130	-
01-Aug-23	UFO	UFO Moviez India Ltd.	BONANZA COMMODITY BROKERS PRIVATE LIMITED	BUY	"3,09,809"	91.99	-
01-Aug-23	UFO	UFO Moviez India Ltd.	BONANZA COMMODITY BROKERS PRIVATE LIMITED	SELL	"3,13,661"	90.93	-
01-Aug-23	VAISHALI	Vaishali Pharma Limited	JAINAM BROKING LIMITED	BUY	"2,25,000"	139.07	-
01-Aug-23	VAISHALI	Vaishali Pharma Limited	JANAK NAVINBHAI PANCHAL	SELL	"1,50,045"	139.1	-
01-Aug-23	VERANDA	Veranda Learning Sol Ltd	AUTHUM INVESTMENT & INFRASTRUCTURE LIMITED	BUY	"7,26,113"	189.58	-
02-Aug-23	BEML	BEML Limited	GRAVITON RESEARCH CAPITAL LLP	BUY	"2,76,129"	"2,049.17"	-
02-Aug-23	BEML	BEML Limited	GRAVITON RESEARCH CAPITAL LLP	SELL	"2,76,129"	"2,050.52"	-
02-Aug-23	CAMPUS	Campus Activewear Limited	ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED	BUY	"25,00,000"	295	-
02-Aug-23	CUPID	Cupid Limited	GRAVITON RESEARCH CAPITAL LLP	BUY	"1,13,807"	286.28	-
02-Aug-23	CUPID	Cupid Limited	GRAVITON RESEARCH CAPITAL LLP	SELL	"1,13,807"	286.43	-
02-Aug-23	DBL	Dilip Buildcon Limited	AAKRAYA RESEARCH LLP	BUY	"14,81,746"	329.8	-
02-Aug-23	DBL	Dilip Buildcon Limited	AAKRAYA RESEARCH LLP	SELL	"14,81,746"	330.02	-
02-Aug-23	DBL	Dilip Buildcon Limited	ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED	BUY	"12,81,382"	329.11	-
02-Aug-23	DBL	Dilip Buildcon Limited	ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED	SELL	"12,78,371"	329.95	-
02-Aug-23	DBL	Dilip Buildcon Limited	GRAVITON RESEARCH CAPITAL LLP	BUY	"35,30,005"	329.09	-
02-Aug-23	DBL	Dilip Buildcon Limited	GRAVITON RESEARCH CAPITAL LLP	SELL	"35,30,005"	329.47	-
02-Aug-23	DBL	Dilip Buildcon Limited	NK SECURITIES RESEARCH PRIVATE LIMITED	BUY	"14,17,336"	330.5	-
02-Aug-23	DBL	Dilip Buildcon Limited	NK SECURITIES RESEARCH PRIVATE LIMITED	SELL	"14,17,336"	330.66	-
02-Aug-23	DBL	Dilip Buildcon Limited	QE SECURITIES	BUY	"12,23,615"	328.23	-
02-Aug-23	DBL	Dilip Buildcon Limited	QE SECURITIES	SELL	"12,26,860"	328.61	-
02-Aug-23	DBL	Dilip Buildcon Limited	SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED	BUY	"8,59,079"	329.01	-
02-Aug-23	DBL	Dilip Buildcon Limited	SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED	SELL	"8,59,079"	329.19	-
02-Aug-23	DIL	Debock Industries Limited	A S CONFIN PRIVATE LIMITED	BUY	"14,81,588"	11.44	-
02-Aug-23	DIL	Debock Industries Limited	B.W.TRADERS	SELL	"10,39,524"	11.2	-
02-Aug-23	DIL	Debock Industries Limited	DHARMIK BAROT	BUY	"9,52,000"	11.62	-
02-Aug-23	DIL	Debock Industries Limited	DHARMIK BAROT	SELL	"9,52,000"	11.62	-
02-Aug-23	DIL	Debock Industries Limited	DOSHI SAUMIK KETAN	SELL	"25,00,000"	11.2	-
02-Aug-23	DIL	Debock Industries Limited	ESAAR (INDIA) LIMITED	BUY	"9,83,487"	11.4	-
02-Aug-23	DIL	Debock Industries Limited	MAKVANA HASMUKHBHAI CHIMANBHAI	BUY	"9,70,000"	11.62	-
02-Aug-23	DIL	Debock Industries Limited	MAKVANA HASMUKHBHAI CHIMANBHAI	SELL	"9,70,000"	11.62	-
02-Aug-23	DIL	Debock Industries Limited	MRUGESH NATWARLAL  RUPAREL	BUY	"9,70,000"	11.62	-
02-Aug-23	DIL	Debock Industries Limited	MRUGESH NATWARLAL  RUPAREL	SELL	"9,70,000"	11.62	-
02-Aug-23	DIL	Debock Industries Limited	MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED	BUY	"12,44,374"	11.2	-
02-Aug-23	DIL	Debock Industries Limited	MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED	SELL	"12,44,374"	11.48	-
02-Aug-23	DIL	Debock Industries Limited	PAULOMI KETAN DOSHI	SELL	"26,44,811"	11.3	-
02-Aug-23	DIL	Debock Industries Limited	UPPINANGADY SUDHINDRA NAYAK	BUY	"17,40,000"	11.2	-
02-Aug-23	DYCL	Dynamic Cables Limited	GRAVITON RESEARCH CAPITAL LLP	BUY	"1,73,003"	521.71	-
02-Aug-23	DYCL	Dynamic Cables Limited	GRAVITON RESEARCH CAPITAL LLP	SELL	"1,73,003"	522.15	-
02-Aug-23	DYNAMIC	Dynamic Srvcs & Sec Ltd	DILIP KESHRIMAL SANKLECHA	BUY	"84,000"	45.3	-
02-Aug-23	GEPIL	GE Power India Limited	GRAVITON RESEARCH CAPITAL LLP	BUY	"9,46,365"	177.62	-
02-Aug-23	GEPIL	GE Power India Limited	GRAVITON RESEARCH CAPITAL LLP	SELL	"9,46,365"	177.79	-
